id,experiment_id,task_index,phase,repetition,execution_mode,strategy,model,complexity,domain,success,quality_score,judge_score,cost_usd,total_tokens,latency_ms,failure_mode,models_used,created_at,response_md5,response_len
6bd04841-dbdb-40df-8cd8-7e5eb73f5bdc,f7b76768-2d30-402c-b25e-90cb6f3790b2,123,sanity-check,1,collective,blind-debate,ministral-3b-latest,high,business,t,0.6000,0.6000,0.005141,2091,25006,,google/diffusiongemma-26b-a4b-it|zai-org/GLM-4.6V|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|ministral-3b-latest,2026-07-05 14:59:38.782,40c0dad63ef09114f22014dd0855a423,4198
842b08f3-7498-49bf-97e6-690162aee2e1,f7b76768-2d30-402c-b25e-90cb6f3790b2,123,sanity-check,1,collective,consensus,google/diffusiongemma-26b-a4b-it,high,business,t,1.0000,1.0000,0.004224,796,32289,,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|google/diffusiongemma-26b-a4b-it|ministral-3b-latest|zai-org/GLM-4.6V,2026-07-05 14:59:41.317,1acc4525bc5a278790ff957e37486cd6,1327
3787a2d7-76ed-4642-92ab-0638923727d6,f7b76768-2d30-402c-b25e-90cb6f3790b2,117,warmup,1,collective,consensus,ministral-14b-2512,medium,tech,t,0.6000,0.6000,0.003446,763,11614,,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|google/diffusiongemma-26b-a4b-it|ministral-14b-2512|zai-org/GLM-4.6V,2026-07-05 14:59:58.021,d13245e9ed2a7270bbdcb333a297e263,1389
e2448bb1-f326-44b6-8550-7393c9a415c5,f7b76768-2d30-402c-b25e-90cb6f3790b2,117,frozen,1,collective,blind-debate,ministral-14b-2512,medium,tech,t,1.0000,1.0000,0.001342,1279,19391,,zai-org/GLM-4.6V|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|accounts/fireworks/models/deepseek-v4-pro|ministral-14b-2512,2026-07-05 15:00:07.893,5e342f97261d48a23a2773847d575266,3331
d098d250-06aa-4ead-968e-4f73c79c3b06,f7b76768-2d30-402c-b25e-90cb6f3790b2,117,frozen,1,collective,expert-panel,codestral-latest,medium,tech,t,1.0000,1.0000,0.000537,703,7487,,ministral-14b-2512|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest,2026-07-05 15:00:14.805,7e8c8dfa7d73cea92bc386a69415d07f,568
21ad439d-1b0c-472a-b93e-db8db6a34d76,f7b76768-2d30-402c-b25e-90cb6f3790b2,123,sanity-check,1,collective,expert-panel,codestral-latest,high,business,t,1.0000,1.0000,0.001841,1996,27765,,ministral-3b-latest|google/diffusiongemma-26b-a4b-it|zai-org/GLM-4.6V|codestral-latest,2026-07-05 15:00:23.561,b8fc96fa1ddef62fe359b69e435ab3de,2153
c7d13148-1062-4082-bc10-af26de7e3fe6,f7b76768-2d30-402c-b25e-90cb6f3790b2,118,frozen,1,collective,consensus,mistral-large-2512,medium,business,t,0.6000,0.6000,0.014006,946,23879,,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistral-large-2512|mistralai/ministral-14b-instruct-2512|zai-org/GLM-4.6V,2026-07-05 15:00:47.975,9c6f9f990066ea5e1c5c78e5eefc539c,1547
ac38ba14-7077-4443-9bde-b27e2dc5d255,f7b76768-2d30-402c-b25e-90cb6f3790b2,118,frozen,1,collective,expert-panel,codestral-latest,medium,business,t,0.6000,0.6000,0.003287,1091,23314,,mistral-large-2512|kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|codestral-latest,2026-07-05 15:00:55.745,962797735651eeda3b2d56dfafc25e48,1259
619fe49c-68e1-4567-b785-df92764afd52,f7b76768-2d30-402c-b25e-90cb6f3790b2,118,frozen,1,collective,blind-debate,mistral-large-2512,medium,business,t,0.6000,0.6000,0.020209,3098,48397,,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistralai/ministral-14b-instruct-2512|zai-org/GLM-4.6V|mistral-large-2512,2026-07-05 15:01:10.857,a5a7414352329f9a147c2d41774b9271,4339
dd1102c1-4db9-49cc-baa3-d459e2eb8b50,f7b76768-2d30-402c-b25e-90cb6f3790b2,121,frozen,1,collective,blind-debate,codestral-latest,medium,tech,t,0.6000,0.6000,0.005406,1264,14309,,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|mistralai/ministral-14b-instruct-2512|deepseek-ai/DeepSeek-V4-Flash|codestral-latest,2026-07-05 15:01:18.978,4e0a739c37084b054678e43e04fb6bed,1291
