task_index,repetition,strategy,models_used,internals
0,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|Qwen/Qwen3-8B|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, Qwen/Qwen3-8B, phala/gpt-oss-120b] [decider: deepseek-v4-pro] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:deepseek-v4-pro($1.2920/32519ms), respondent:Qwen/Qwen3-8B($0.0003/8403ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → Qwen/Qwen3-8B → phala/gpt-oss-120b]"
0,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: openai/gpt-oss-120b] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0004/1657ms), respondent:openai/gpt-oss-120b($0.0013/4598ms), respondent:openai/gpt-oss-120b($0.0150/18969ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → kimi-k2-0905-preview]"
1,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|Qwen/Qwen3-8B|deepseek-v4-pro|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, Qwen/Qwen3-8B, deepseek-v4-pro, phala/gpt-oss-120b] [decider: Qwen/Qwen3-8B] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:Qwen/Qwen3-8B($0.0006/19625ms), respondent:deepseek-v4-pro($1.3075/34014ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → Qwen/Qwen3-8B → deepseek-v4-pro → phala/gpt-oss-120b]"
1,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|mistral-large-latest|qwen3-max-preview|Qwen/Qwen3-8B|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, mistral-large-latest, qwen3-max-preview, Qwen/Qwen3-8B, kimi-k2-0905-preview] [decider: mistral-large-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:mistral-large-latest($0.0135/29120ms), respondent:qwen3-max-preview($0.5693/17941ms), respondent:Qwen/Qwen3-8B($0.0007/21132ms), adjudicator:kimi-k2-0905-preview($0.0000/1ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → mistral-large-latest → qwen3-max-preview → Qwen/Qwen3-8B → kimi-k2-0905-preview]"
2,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|codestral-latest|mistralai/ministral-14b-instruct-2512|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, codestral-latest, mistralai/ministral-14b-instruct-2512, kimi-k2-0905-preview] [decider: codestral-latest] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:codestral-latest($0.0011/15981ms), respondent:mistralai/ministral-14b-instruct-2512($0.0136/41492ms), respondent:mistralai/ministral-14b-instruct-2512($0.0167/39127ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → codestral-latest → mistralai/ministral-14b-instruct-2512 → kimi-k2-0905-preview]"
2,2,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, phala/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:openai/gpt-oss-120b($0.0007/2369ms), respondent:openai/gpt-oss-120b($0.0019/7157ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → phala/gpt-oss-120b]"
6,1,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|Qwen/Qwen3-8B|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, Qwen/Qwen3-8B, phala/gpt-oss-120b] [decider: deepseek-v4-pro] [subcalls: respondent:kimi-k2-0905-preview($0.0000/0ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:deepseek-v4-pro($1.2363/33454ms), respondent:Qwen/Qwen3-8B($0.0002/6555ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → Qwen/Qwen3-8B → phala/gpt-oss-120b]"
6,2,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|deepseek-v4-pro|meta-llama/Llama-3.1-8B-Instruct|openai/gpt-oss-120b|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, deepseek-v4-pro, meta-llama/Llama-3.1-8B-Instruct, openai/gpt-oss-120b, kimi-k2-0905-preview] [decider: deepseek-v4-pro] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:deepseek-v4-pro($1.6692/43603ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0001/17944ms), respondent:openai/gpt-oss-120b($0.0019/6494ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → deepseek-v4-pro → meta-llama/Llama-3.1-8B-Instruct → openai/gpt-oss-120b → kimi-k2-0905-preview]"
14,1,blind-debate,hf:Qwen/Qwen3.5-397B-A17B|meta-llama/Llama-3.1-8B-Instruct|mistralai/ministral-14b-instruct-2512|codestral-latest|kimi-k2-0905-preview,"[cost:provider_reported,confidence:high] [models: hf:Qwen/Qwen3.5-397B-A17B, meta-llama/Llama-3.1-8B-Instruct, mistralai/ministral-14b-instruct-2512, codestral-latest, kimi-k2-0905-preview] [decider: meta-llama/Llama-3.1-8B-Instruct] [subcalls: respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/0ms), respondent:meta-llama/Llama-3.1-8B-Instruct($0.0000/4286ms), respondent:mistralai/ministral-14b-instruct-2512($0.0121/35208ms), respondent:codestral-latest($0.0007/6435ms), adjudicator:kimi-k2-0905-preview($0.0000/0ms)] [source: explicit] [chain: hf:Qwen/Qwen3.5-397B-A17B → meta-llama/Llama-3.1-8B-Instruct → mistralai/ministral-14b-instruct-2512 → codestral-latest → kimi-k2-0905-preview]"
14,2,blind-debate,kimi-k2-0905-preview|hf:Qwen/Qwen3.5-397B-A17B|openai/gpt-oss-120b|phala/gpt-oss-120b,"[cost:provider_reported,confidence:high] [models: kimi-k2-0905-preview, hf:Qwen/Qwen3.5-397B-A17B, openai/gpt-oss-120b, phala/gpt-oss-120b] [decider: openai/gpt-oss-120b] [subcalls: respondent:kimi-k2-0905-preview($0.0000/1ms), respondent:hf:Qwen/Qwen3.5-397B-A17B($0.0000/1ms), respondent:openai/gpt-oss-120b($0.0005/2610ms), respondent:openai/gpt-oss-120b($0.0019/6789ms), adjudicator:phala/gpt-oss-120b($0.0000/0ms)] [source: explicit] [chain: kimi-k2-0905-preview → hf:Qwen/Qwen3.5-397B-A17B → openai/gpt-oss-120b → phala/gpt-oss-120b]"
