id,experiment_id,task_index,phase,repetition,execution_mode,strategy,model,complexity,domain,success,quality_score,judge_score,cost_usd,total_tokens,latency_ms,failure_mode,models_used,created_at,response_md5,response_len
b52efa80-0001-4ca5-8363-36b3d1c427ee,569ce880-7c45-4b8f-ac30-d3500f762634,102,sanity-check,1,single-model,single,gpt-5.5-pro-2026-04-23,high,creative,f,0.0000,,0.000000,0,9284,rate-limited,"",2026-07-05 16:50:20.421,f584f3725fc14dd6cb35a746dfc8191c,150
dcbb54f4-94ec-4616-936b-839a0db7d35b,569ce880-7c45-4b8f-ac30-d3500f762634,102,warmup,1,single-model,single,claude-fable-5,high,creative,f,0.0000,,0.000000,0,1372,rate-limited,"",2026-07-05 16:50:24.103,f584f3725fc14dd6cb35a746dfc8191c,150
308cd2ef-8f63-4771-bdf8-7347503f1452,569ce880-7c45-4b8f-ac30-d3500f762634,102,warmup,1,single-model,single,King3Djbl/mythos-9b-unhinged,high,creative,f,0.0000,,0.000000,0,2024,rate-limited,"",2026-07-05 16:50:28.374,f584f3725fc14dd6cb35a746dfc8191c,150
eaddd363-98fa-4fb2-8de5-58a817e84493,569ce880-7c45-4b8f-ac30-d3500f762634,107,sanity-check,1,single-model,debate,gpt-5.5-pro,medium,resilience,t,0.1800,0.1800,0.000577,1345,13631,,codestral-latest,2026-07-05 16:50:31.096,d3d3d96bba6c2bd9a4ae3f2b93de27dc,2962
1e8305de-8ad7-4937-a55d-235255fe900e,569ce880-7c45-4b8f-ac30-d3500f762634,102,warmup,1,single-model,single,gemini-3.1-pro,high,creative,f,0.0000,,0.000000,0,1168,rate-limited,"",2026-07-05 16:50:31.579,f584f3725fc14dd6cb35a746dfc8191c,150
e754f6d3-979f-4403-9efd-4ec825bdb4ac,569ce880-7c45-4b8f-ac30-d3500f762634,102,frozen,1,single-model,single,google/gemini-3.1-pro,high,creative,f,0.0000,,0.000000,0,1116,rate-limited,"",2026-07-05 16:50:34.726,f584f3725fc14dd6cb35a746dfc8191c,150
b4280537-bb7a-45cd-a801-07638297c436,569ce880-7c45-4b8f-ac30-d3500f762634,102,frozen,1,single-model,single,grok-4.3,high,creative,f,0.0000,,0.000000,0,1112,rate-limited,"",2026-07-05 16:50:37.861,f584f3725fc14dd6cb35a746dfc8191c,150
329091e9-a3c4-4de8-8ab6-0bd7fe9f50a1,569ce880-7c45-4b8f-ac30-d3500f762634,102,frozen,1,collective,consensus,,high,creative,f,0.0000,,0.000000,0,2936,rate-limited,"",2026-07-05 16:50:42.813,77318761a4f51352cc919d7a38099cbf,150
b2345d3c-7a6b-43f2-9176-c795b3ae48ab,569ce880-7c45-4b8f-ac30-d3500f762634,107,sanity-check,1,single-model,debate,gpt-5.5-pro-2026-04-23,medium,resilience,t,0.0200,0.0200,0.000548,1298,12322,,codestral-latest,2026-07-05 16:50:42.891,c7a39932079993ac89bc6bda469a29be,2935
0716ae0f-463a-4855-a82c-b0226bc163db,569ce880-7c45-4b8f-ac30-d3500f762634,107,frozen,1,single-model,debate,claude-opus-4-8,medium,resilience,t,0.0900,0.0900,0.000552,1304,7382,,codestral-latest,2026-07-05 16:50:46.115,eabf80827257433d53946caa4912b2ea,2994
954c28ed-dede-4e8b-bf09-adddb605a7ba,569ce880-7c45-4b8f-ac30-d3500f762634,102,frozen,1,collective,blind-debate,,high,creative,f,0.0000,,0.000000,0,2917,rate-limited,"",2026-07-05 16:50:47.758,77318761a4f51352cc919d7a38099cbf,150
1a679fca-09e7-4fa2-b4e6-2fc45b640e75,569ce880-7c45-4b8f-ac30-d3500f762634,112,sanity-check,1,single-model,single,gpt-5.5-pro-2026-04-23,high,tech,t,0.0500,0.0500,0.000067,1906,31977,,gpt-5.5-pro-2026-04-23|gpt-5.5-pro|openai/gpt-5-pro|gpt-5-pro|meta-llama/Llama-3.1-8B-Instruct,2026-07-05 16:50:50.866,0143228e545d88ef84fb6fe75262d097,5707
5881d666-cf59-45ee-b445-58bdf4d81382,569ce880-7c45-4b8f-ac30-d3500f762634,102,frozen,1,collective,expert-panel,,high,creative,f,0.0000,,0.000000,0,1838,rate-limited,"",2026-07-05 16:50:51.987,77318761a4f51352cc919d7a38099cbf,150
cb12f5c9-99c6-40ae-a6e1-be87551a5a36,569ce880-7c45-4b8f-ac30-d3500f762634,107,frozen,1,single-model,debate,claude-fable-5,medium,resilience,t,0.2800,0.2800,0.000608,1397,8233,,codestral-latest,2026-07-05 16:51:03.122,3a91fb6378089e0a1f5b9af6677524eb,2845
c1b67174-4e23-4262-b2b4-596739e63ec4,569ce880-7c45-4b8f-ac30-d3500f762634,2,sanity-check,1,single-model,single,gpt-5.5-pro-2026-04-23,high,tech,t,1.0000,1.0000,0.000057,1277,25526,,gpt-5.5-pro-2026-04-23|gpt-5.5-pro|openai/gpt-5-pro|gpt-5-pro|meta-llama/Llama-3.1-8B-Instruct,2026-07-05 16:51:14.137,7b23215b63c26a9cbe62cf17292d05f4,4851
a7317c23-0d50-4f5b-8c69-234a8fcac806,569ce880-7c45-4b8f-ac30-d3500f762634,112,sanity-check,1,single-model,single,gpt-5.5-pro,high,tech,t,0.6000,0.6000,0.000142,6397,62412,,gpt-5.5-pro|openai/gpt-5-pro|gpt-5-pro|meta-llama/Llama-3.1-8B-Instruct,2026-07-05 16:51:24.73,f549122ae193c371d959211950c9cfeb,2809
6bcb9ef1-3de2-4615-a9b3-7b8b4954a280,569ce880-7c45-4b8f-ac30-d3500f762634,2,sanity-check,1,single-model,single,gpt-5.5-pro,high,tech,t,0.9000,0.9000,0.000164,6650,68570,,gpt-5.5-pro|openai/gpt-5-pro|gpt-5-pro|meta-llama/Llama-3.1-8B-Instruct,2026-07-05 16:51:25.628,92bb6cb9e0f9f48f04d37bc20187a0e3,5020
78ea32ed-f711-4697-842b-48b9651413eb,569ce880-7c45-4b8f-ac30-d3500f762634,98,frozen,1,single-model,single,gpt-5.5-pro,medium,audio,t,0.9400,0.9400,0.000059,1500,20650,,gpt-5.5-pro|openai/gpt-5-pro|gpt-5-pro|meta-llama/Llama-3.1-8B-Instruct,2026-07-05 16:51:30.966,5a6c261ed8db413fe73a582dad5e8201,4606
5d032375-6091-44c7-bdb4-6276ad589fd3,569ce880-7c45-4b8f-ac30-d3500f762634,107,frozen,1,single-model,debate,King3Djbl/mythos-9b-unhinged,medium,resilience,t,0.6000,0.6000,0.000653,1473,9585,,codestral-latest,2026-07-05 16:51:31.971,3cc53fa3332595a1086ff00468a7c5c1,3280
9e988b5a-2981-4f4c-a2a8-c4fcf37ccc51,569ce880-7c45-4b8f-ac30-d3500f762634,107,frozen,1,single-model,debate,gemini-3.1-pro,medium,resilience,t,0.0400,0.0400,0.001447,1328,14822,,codestral-latest|kimi-k2-0905-preview,2026-07-05 16:51:39.565,6a30a98dd75d3e1965a5827ab95fc90b,3786
