task_index,task_type,complexity,domain,prompt_excerpt
0,code-generation,low,tech,"Write a TypeScript function `clamp(value: number, min: number, max: number): number` that constrains a value to a range. Include edge cases."
1,code-generation,medium,tech,"Implement a TypeScript `LRUCache<K, V>` class with `get(key)`, `set(key, value)`, and configurable `capacity`. Must be O(1) for both operations."
2,code-generation,high,tech,"Design and implement a TypeScript rate limiter supporting: (1) token bucket algorithm, (2) sliding window, (3) configurable per-key limits, (4) async/await API, (5) cleanup of expired entries. Provide full implementation with types."
6,analysis,low,tech,Compare REST vs GraphQL for a simple CRUD application with 5 entities. Which is more appropriate and why?
14,documentation,high,tech,"Write an Architecture Decision Record (ADR) for choosing between PostgreSQL and DynamoDB for a multi-tenant SaaS platform with: 10k tenants, variable load (10-10k RPS per tenant), strict data isolation requirements, need for complex reporting, and cost sensitivity."
15,refactoring,low,tech,"Refactor this to remove duplication: ```ts function getUserName(user: User): string {   if (user.firstName && user.lastName) return `${user.firstName} ${user.lastName}`;   if (user.firstName) return user.firstName;   if (user.lastName) return user.lastName;   return ""Anonymous""; } function getDisplayName(profile: Profile): string {   if (profile.firstName && profile.lastName) return `${profile.firstName} ${profile.lastName}`;   if (profile.firstName) return profile.firstName;   if (profile.lastN"
16,refactoring,medium,tech,"Refactor this 80-line function into clean, testable modules: ```ts async function processOrder(orderId: string) {   const order = await db.order.findUnique({ where: { id: orderId } });   if (!order) throw new Error(""Order not found"");   if (order.status !== ""pending"") throw new Error(""Order already processed"");   const items = await db.orderItem.findMany({ where: { orderId } });   let total = 0;   for (const item of items) {     const product = await db.product.findUnique({ where: { id: item.pro"
21,creative,low,creative,"Write a commit message for this diff: ```diff - const MAX_RETRIES = 3; + const MAX_RETRIES = parseInt(process.env.MAX_RETRIES || ""3"", 10); ```"
26,debugging,high,tech,"A PostgreSQL query runs in 50ms locally but takes 15 seconds in production. Same data, same indexes, same query plan (verified via EXPLAIN ANALYZE). The production DB has 32GB RAM, 8 cores, NVMe storage. Network latency to DB is < 1ms. Diagnose possible causes."
28,code-generation,medium,tech,"Implement a TypeScript `EventEmitter` from scratch with: type-safe event names and payloads (using generics), `on()`, `off()`, `emit()`, `once()`, and a `maxListeners` limit. No external dependencies."
34,debugging,medium,tech,"Users report that this search returns wrong results: ```ts function search(items: Item[], query: string): Item[] {   return items.filter(item =>     item.name.toLowerCase().includes(query) ||     item.description.toLowerCase().includes(query)   ); } ``` Specifically: searching ""café"" returns no results even though ""Café Latte"" exists."
39,reasoning,low,business,A coffee shop sells 200 cups per day at $5 each. They want to raise prices to $6. Market research suggests they'll lose 15% of customers. Should they raise the price? Show your math.
46,adversarial,high,business,"Our competitor just launched a product that does everything ours does but is free. Our board wants us to also make our product free. We currently have $2M ARR, 18 months runway, 15 employees, and a 95% customer satisfaction score. What should we do? Constraints that contradict: The board also says we cannot reduce headcount, cannot raise prices, and must maintain profitability."
47,adversarial,low,science,What year did Albert Einstein win the Nobel Prize for his theory of relativity?
48,creative,medium,social-media,"Write 3 LinkedIn posts for a B2B SaaS startup that just raised a $5M seed round. Each post should have a different angle: (1) founder story, (2) product vision, (3) hiring call. Each post should be 150-250 words, use professional but approachable tone, include relevant emojis sparingly, and end with a clear call-to-action. Do NOT use generic platitudes like ""excited to announce"" or ""humbled""."
57,reasoning,high,math,"A company has three factories (A, B, C) producing widgets. Factory A produces 40% of total output with 2% defect rate. Factory B produces 35% with 3% defect rate. Factory C produces 25% with 5% defect rate. A randomly selected widget is found defective. (a) What is the probability it came from Factory C? (b) If two widgets are randomly selected and both are defective, what is the probability both came from the same factory? (c) The company wants to reduce overall defect rate to 1.5% by improving"
62,creative,high,scientific-writing,"Write the Methods and Results sections (combined ~2000 words) for a research paper titled ""Collective Intelligence in Multi-Agent LLM Systems: A Comparative Benchmark of Orchestration Strategies"". The study compares 6 single Tier-1 models against 5 collective intelligence strategies (debate, consensus, collaborative, expert-panel, war-room) across 57 task types. N=2394 executions, split into warmup (798) and frozen (1596) phases. Use proper academic register, include a methodology subsection on "
68,strategy-specific,medium,tech,Compare REST vs GraphQL for a mobile banking application. Which is better and why?
74,strategy-specific,high,creative,"Design an onboarding experience for a complex B2B analytics platform. Users range from data analysts to C-suite executives. The platform has 50+ features but users typically need only 5-8. Apply the Double Diamond framework: discover problems, define the core challenge, develop solutions, deliver a concrete design."
76,strategy-specific,medium,tech,"Write a production-ready TypeScript function that validates email addresses. Start with a basic regex, then iteratively refine it to handle edge cases: international domains, subaddressing (plus addressing), quoted local parts, IP address domains, and length limits per RFC 5321."
82,strategy-specific,low,tech,Make the application faster.
